NO_OF_FRAMES	6345
NO_OF_CAMERAS	9
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-05, 22:12:12.664	27737.25340530
DATA_INCLUDED	6D
BODY_NAMES	drone	hunter
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		hunter X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
30	0.29000	1020.84233	-14.58834	303.28478	0.41242	0.05501	-0.41815	0.38933	0.99997	-0.00729	-0.00101	0.00730	0.99995	0.00719	0.00096	-0.00720	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
31	0.30000	1020.83343	-14.57111	303.31103	0.42046	0.05027	-0.41224	0.39238	0.99997	-0.00719	-0.00093	0.00719	0.99995	0.00733	0.00088	-0.00734	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
32	0.31000	1020.83658	-14.56035	303.33513	0.41001	0.04972	-0.40653	0.41063	0.99997	-0.00709	-0.00092	0.00710	0.99995	0.00715	0.00087	-0.00716	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
33	0.32000	1020.82455	-14.53173	303.31506	0.41435	0.04492	-0.40165	0.40597	0.99998	-0.00700	-0.00083	0.00701	0.99995	0.00723	0.00078	-0.00723	0.99997		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
34	0.33000	1020.79305	-14.52747	303.35115	0.40338	0.02465	-0.39412	0.40392	0.99998	-0.00688	-0.00048	0.00688	0.99995	0.00704	0.00043	-0.00704	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
35	0.34000	1020.79090	-14.51634	303.31145	0.40160	0.02552	-0.38797	0.39267	0.99998	-0.00677	-0.00049	0.00677	0.99995	0.00701	0.00045	-0.00701	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
36	0.35000	1020.79095	-14.47386	303.33380	0.38173	0.02569	-0.39386	0.39915	0.99998	-0.00687	-0.00049	0.00687	0.99995	0.00666	0.00045	-0.00666	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
37	0.36000	1020.77473	-14.43622	303.35204	0.37826	0.03612	-0.39711	0.38866	0.99998	-0.00693	-0.00068	0.00693	0.99995	0.00660	0.00063	-0.00660	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
38	0.37000	1020.78408	-14.42500	303.34515	0.36466	0.02861	-0.39831	0.40970	0.99998	-0.00695	-0.00054	0.00695	0.99996	0.00636	0.00050	-0.00636	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
39	0.38000	1020.77819	-14.40636	303.36191	0.37065	0.02140	-0.39586	0.41553	0.99998	-0.00691	-0.00042	0.00691	0.99996	0.00647	0.00037	-0.00647	0.99998		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
